x,ca,cb,cc
2.15,0.058153808,0.931299128,0.010547063
2.16,0.057933307,0.931524081,0.010542612
2.17,0.057717369,0.931744536,0.010538095
2.18,0.0575059,0.931960588,0.010533512
2.19,0.057298808,0.932172326,0.010528866
2.2,0.057096,0.93237984,0.01052416
2.21,0.056897388,0.932583218,0.010519394
2.22,0.056702885,0.932782544,0.010514571
2.23,0.056512405,0.932977903,0.010509692
2.24,0.056325865,0.933169375,0.01050476
2.25,0.056143182,0.933357043,0.010499776
2.26,0.055964276,0.933540983,0.010494741
2.27,0.055789069,0.933721273,0.010489658
2.28,0.055617484,0.933897988,0.010484528
2.29,0.055449445,0.934071202,0.010479353
2.3,0.055284878,0.934240988,0.010474134
2.31,0.055123712,0.934407415,0.010468873
2.32,0.054965876,0.934570553,0.010463571
2.33,0.0548113,0.934730471,0.01045823
2.34,0.054659916,0.934887233,0.010452851
2.35,0.054511659,0.935040906,0.010447436
2.36,0.054366462,0.935191553,0.010441985
2.37,0.054224263,0.935339236,0.010436501
2.38,0.054084999,0.935484016,0.010430985
2.39,0.053948609,0.935625953,0.010425438
2.4,0.053815033,0.935765106,0.010419861
2.41,0.053684212,0.935901532,0.010414256
2.42,0.05355609,0.936035287,0.010408623
2.43,0.05343061,0.936166426,0.010402964
2.44,0.053307717,0.936295002,0.010397281
2.45,0.053187357,0.936421069,0.010391574
2.46,0.053069478,0.936544678,0.010385844
2.47,0.052954028,0.936665879,0.010380092
2.48,0.052840956,0.936784723,0.010374321
2.49,0.052730214,0.936901257,0.010368529
2.5,0.052621751,0.937015529,0.01036272
2.51,0.052515522,0.937127585,0.010356893
2.52,0.052411479,0.937237471,0.01035105
2.53,0.052309578,0.937345231,0.010345191
2.54,0.052209772,0.93745091,0.010339318
2.55,0.05211202,0.937554548,0.010333431
2.56,0.052016278,0.93765619,0.010327532
2.57,0.051922505,0.937755874,0.010321621
2.58,0.051830659,0.937853643,0.010315699
2.59,0.0517407,0.937949534,0.010309767
2.6,0.051652589,0.938043586,0.010303825
2.61,0.051566288,0.938135837,0.010297875
2.62,0.051481759,0.938226323,0.010291918
2.63,0.051398965,0.938315082,0.010285953
2.64,0.05131787,0.938402147,0.010279982
2.65,0.051238439,0.938487555,0.010274006
2.66,0.051160637,0.938571338,0.010268025
2.67,0.05108443,0.93865353,0.01026204
2.68,0.051009785,0.938734163,0.010256052
2.69,0.05093667,0.938813269,0.010250061
2.7,0.050865053,0.938890879,0.010244068
2.71,0.050794902,0.938967024,0.010238074
2.72,0.050726188,0.939041734,0.010232078
2.73,0.050658879,0.939115038,0.010226083
2.74,0.050592948,0.939186965,0.010220087
2.75,0.050528365,0.939257542,0.010214093
2.76,0.050465102,0.939326797,0.010208101
2.77,0.050403133,0.939394757,0.01020211
2.78,0.050342429,0.939461449,0.010196122
2.79,0.050282966,0.939526897,0.010190137
2.8,0.050224716,0.939591129,0.010184155
2.81,0.050167655,0.939654167,0.010178178
2.82,0.050111758,0.939716036,0.010172205
2.83,0.050057001,0.939776761,0.010166238
2.84,0.05000336,0.939836364,0.010160275
2.85,0.049950812,0.939894869,0.010154319
2.86,0.049899335,0.939952296,0.010148369
2.87,0.049848905,0.940008669,0.010142426
2.88,0.049799502,0.940064008,0.01013649
2.89,0.049751104,0.940118335,0.010130562
2.9,0.049703689,0.940171669,0.010124641
2.91,0.049657239,0.940224032,0.010118729
2.92,0.049611732,0.940275442,0.010112826
2.93,0.049567149,0.940325919,0.010106932
2.94,0.049523471,0.940375482,0.010101047
2.95,0.049480679,0.940424149,0.010095172
2.96,0.049438755,0.940471938,0.010089307
2.97,0.04939768,0.940518867,0.010083453
2.98,0.049357438,0.940564953,0.010077609
2.99,0.04931801,0.940610213,0.010071777
3,0.049279381,0.940654664,0.010065955
3.01,0.049241532,0.940698322,0.010060146
3.02,0.049204449,0.940741203,0.010054348
3.03,0.049168115,0.940783323,0.010048562
3.04,0.049132514,0.940824697,0.010042789
3.05,0.049097632,0.940865339,0.010037029
3.06,0.049063454,0.940905265,0.010031281
3.07,0.049029965,0.940944489,0.010025547
3.08,0.04899715,0.940983024,0.010019826
3.09,0.048964997,0.941020885,0.010014118
3.1,0.04893349,0.941058086,0.010008425
3.11,0.048902617,0.941094638,0.010002745
3.12,0.048872364,0.941130556,0.00999708
3.13,0.048842719,0.941165852,0.009991429
3.14,0.048813669,0.941200538,0.009985793
3.15,0.048785202,0.941234627,0.009980172
3.16,0.048757305,0.941268129,0.009974565
3.17,0.048729968,0.941301058,0.009968974
3.18,0.048703177,0.941333424,0.009963398
3.19,0.048676923,0.941365239,0.009957838
3.2,0.048651193,0.941396513,0.009952294
3.21,0.048625978,0.941427257,0.009946765
3.22,0.048601266,0.941457482,0.009941252
3.23,0.048577047,0.941487197,0.009935755
3.24,0.048553311,0.941516414,0.009930275
3.25,0.048530048,0.941545141,0.009924811
3.26,0.048507247,0.941573389,0.009919363
3.27,0.0484849,0.941601167,0.009913932
3.28,0.048462998,0.941628484,0.009908518
3.29,0.04844153,0.94165535,0.009903121
3.3,0.048420488,0.941681772,0.00989774
3.31,0.048399863,0.941707761,0.009892377
3.32,0.048379646,0.941733323,0.00988703
3.33,0.04835983,0.941758468,0.009881701
3.34,0.048340406,0.941783204,0.00987639
3.35,0.048321365,0.941807539,0.009871095
3.36,0.0483027,0.941831481,0.009865819
3.37,0.048284403,0.941855037,0.009860559
3.38,0.048266467,0.941878215,0.009855318
3.39,0.048248884,0.941901022,0.009850094
3.4,0.048231646,0.941923466,0.009844888
3.41,0.048214747,0.941945553,0.0098397
3.42,0.04819818,0.941967291,0.00983453
3.43,0.048181937,0.941988685,0.009829378
3.44,0.048166013,0.942009744,0.009824243
3.45,0.0481504,0.942030473,0.009819127
3.46,0.048135093,0.942050878,0.009814029
3.47,0.048120084,0.942070967,0.009808949
3.48,0.048105368,0.942090745,0.009803888
3.49,0.048090939,0.942110217,0.009798844
3.5,0.04807679,0.942129391,0.009793819
3.51,0.048062917,0.942148271,0.009788812
3.52,0.048049313,0.942166864,0.009783824
3.53,0.048035972,0.942185174,0.009778854
3.54,0.048022891,0.942203207,0.009773902
3.55,0.048010062,0.942220969,0.009768969
3.56,0.047997481,0.942238464,0.009764054
3.57,0.047985144,0.942255698,0.009759158
3.58,0.047973044,0.942272676,0.00975428
3.59,0.047961177,0.942289402,0.009749421
3.6,0.047949538,0.942305882,0.00974458
3.61,0.047938123,0.942322119,0.009739758
3.62,0.047926926,0.942338119,0.009734954
3.63,0.047915945,0.942353886,0.009730169
3.64,0.047905173,0.942369425,0.009725403
3.65,0.047894607,0.942384739,0.009720654
3.66,0.047884242,0.942399833,0.009715925
3.67,0.047874075,0.942414711,0.009711214
3.68,0.047864102,0.942429377,0.009706521
3.69,0.047854318,0.942443835,0.009701847
3.7,0.047844719,0.942458089,0.009697192
3.71,0.047835302,0.942472143,0.009692555
3.72,0.047826064,0.942486,0.009687937
3.73,0.047816999,0.942499664,0.009683337
3.74,0.047808106,0.942513139,0.009678755
3.75,0.04779938,0.942526428,0.009674192
3.76,0.047790818,0.942539535,0.009669648
3.77,0.047782416,0.942552462,0.009665122
3.78,0.047774172,0.942565214,0.009660614
3.79,0.047766082,0.942577793,0.009656125
3.8,0.047758143,0.942590203,0.009651654
3.81,0.047750352,0.942602446,0.009647201
3.82,0.047742707,0.942614527,0.009642767
3.83,0.047735203,0.942626447,0.009638351
3.84,0.047727838,0.942638209,0.009633953
3.85,0.047720609,0.942649817,0.009629574
3.86,0.047713514,0.942661274,0.009625212
3.87,0.04770655,0.942672581,0.009620869
3.88,0.047699714,0.942683742,0.009616544
3.89,0.047693003,0.942694759,0.009612238
3.9,0.047686416,0.942705636,0.009607949
3.91,0.047679949,0.942716373,0.009603678
3.92,0.0476736,0.942726975,0.009599426
3.93,0.047667366,0.942737443,0.009595191
3.94,0.047661247,0.942747779,0.009590974
3.95,0.047655238,0.942757987,0.009586775
3.96,0.047649338,0.942768068,0.009582594
3.97,0.047643545,0.942778024,0.009578431
3.98,0.047637856,0.942787858,0.009574286
3.99,0.047632269,0.942797573,0.009570158
4,0.047626783,0.942807169,0.009566048
4.01,0.047621395,0.942816649,0.009561956
4.02,0.047616104,0.942826015,0.009557881
4.03,0.047610907,0.942835269,0.009553824
4.04,0.047605802,0.942844413,0.009549785
4.05,0.047600788,0.942853449,0.009545762
4.06,0.047595863,0.942862379,0.009541758
4.07,0.047591025,0.942871205,0.009537771
4.08,0.047586272,0.942879927,0.009533801
4.09,0.047581602,0.942888549,0.009529848
4.1,0.047577015,0.942897072,0.009525913
4.11,0.047572508,0.942905498,0.009521995
4.12,0.047568079,0.942913827,0.009518094
4.13,0.047563728,0.942922062,0.00951421
4.14,0.047559452,0.942930205,0.009510343
4.15,0.04755525,0.942938257,0.009506493
4.16,0.047551121,0.942946219,0.00950266
4.17,0.047547063,0.942954093,0.009498845
4.18,0.047543074,0.94296188,0.009495045
4.19,0.047539154,0.942969583,0.009491263
4.2,0.047535301,0.942977201,0.009487498
4.21,0.047531513,0.942984738,0.009483749
4.22,0.04752779,0.942992193,0.009480017
4.23,0.04752413,0.942999569,0.009476301
4.24,0.047520532,0.943006866,0.009472602
4.25,0.047516994,0.943014086,0.009468919
